"1. Interest rates of deposit-taking corporations (excluding National Bank of Ukraine) on loans (new business), breakdown by regions 
and sectors of economy",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,,None.1,None.2,retrieved
,including by original maturity,up to 1 year,21.9197,0,0,15.3582,39.1152,0,36.0965,,,,,,,,"11/03/2022, 23:07:51"
,,over 1 year and up to 5 years,18.8067,0,0,14.4818,37.3845,0,0,,,,,,,,"11/03/2022, 23:07:51"
,,over 5 years,5.4409,0,0,5.2119,18.061,0,0,,,,,,,,"11/03/2022, 23:07:51"
including by currencies,in national currency,total,23.5882,30,0,16.2306,39.4551,0,36.2972,,,,,,,,"11/03/2022, 23:07:51"
,,overdraft,27.9973,30,0,15.3685,42.1684,0,37.7645,,,,,,,,"11/03/2022, 23:07:51"
,,excluding overdraft,22.8636,0,0,16.3363,38.7341,0,36.0965,,,,,,,,"11/03/2022, 23:07:51"
,,up to 1 year,23.1251,0,0,16.3557,39.1152,0,36.0965,,,,,,,,"11/03/2022, 23:07:51"
,,over 1 year and up to 5 years,20.7558,0,0,16.1863,37.3845,0,0,,,,,,,,"11/03/2022, 23:07:51"
,,over 5 years,18.2448,0,0,0,18.2448,0,0,,,,,,,,"11/03/2022, 23:07:51"
,in foreign currency,total,5.4814,0,0,5.4578,35.2642,0,38.5907,,,,,,,,"11/03/2022, 23:07:51"
,,overdraft,45.4243,0,0,0,45.4243,0,38.5907,,,,,,,,"11/03/2022, 23:07:51"
,,excluding overdraft,5.4582,0,0,5.4578,7.0887,0,0,,,,,,,,"11/03/2022, 23:07:51"
,,up to 1 year,6.2452,0,0,6.2452,0,0,0,,,,,,,,"11/03/2022, 23:07:51"
,,over 1 year and up to 5 years,5.0348,0,0,5.0348,0,0,0,,,,,,,,"11/03/2022, 23:07:51"
,,over 5 years,5.2125,0,0,5.2119,7.0887,0,0,,,,,,,,"11/03/2022, 23:07:51"
Ivano-Frankivsk,,,26.4355,0,16.8,15.7728,37.7058,18.0002,35.0496,,,,,,,,"11/03/2022, 23:07:51"
including,overdraft,,22.0702,0,16.8,17.269,35.1284,18.0002,34.9847,,,,,,,,"11/03/2022, 23:07:51"
,excluding overdraft,,27.4123,0,0,15.2523,37.9954,0,35.0503,,,,,,,,"11/03/2022, 23:07:51"
,including by original maturity,up to 1 year,31.6253,0,0,18.5182,38.6435,0,35.0503,,,,,,,,"11/03/2022, 23:07:51"
,,over 1 year and up to 5 years,21.3259,0,0,16.2439,33.5813,0,0,,,,,,,,"11/03/2022, 23:07:51"
,,over 5 years,6.2194,0,0,5.5859,17.2394,0,0,,,,,,,,"11/03/2022, 23:07:51"
including by currencies,in national currency,total,28.557,0,16.8,18.1362,37.7506,18.0002,35.0456,,,,,,,,"11/03/2022, 23:07:51"
,,overdraft,21.7627,0,16.8,17.269,34.9888,18.0002,34.5115,,,,,,,,"11/03/2022, 23:07:51"
,,excluding overdraft,30.2301,0,0,18.5302,38.0377,0,35.0503,,,,,,,,"11/03/2022, 23:07:51"
,,up to 1 year,32.3449,0,0,19.5377,38.6435,0,35.0503,,,,,,,,"11/03/2022, 23:07:51"
,,over 1 year and up to 5 years,21.4565,0,0,16.3047,34.0163,0,0,,,,,,,,"11/03/2022, 23:07:51"
,,over 5 years,17.9168,0,0,18.25,17.2394,0,0,,,,,,,,"11/03/2022, 23:07:51"
,in foreign currency,total,5.8764,0,0,4.5474,32.8052,0,36.5,,,,,,,,"11/03/2022, 23:07:51"
,,overdraft,36.825,0,0,0,36.825,0,36.5,,,,,,,,"11/03/2022, 23:07:51"
,,excluding overdraft,4.5902,0,0,4.5474,10.3072,0,0,,,,,,,,"11/03/2022, 23:07:51"
,,up to 1 year,7.0291,0,0,7.0291,0,0,0,,,,,,,,"11/03/2022, 23:07:51"
,,over 1 year and up to 5 years,9.3052,0,0,8.3017,10.3072,0,0,,,,,,,,"11/03/2022, 23:07:51"
,,over 5 years,3.91,0,0,3.91,0,0,0,,,,,,,,"11/03/2022, 23:07:51"
Kyiv region and the city of Kyiv,,,16.608528831729316,14.964235329212595,22,15.810948556382606,23.554020155145654,5.061799128906114,0.9386142356364466,,,,,,,,"11/03/2022, 23:07:51"
including,overdraft,,15.713846517980743,21.829792527474396,–,17.45404298480236,14.210621630910527,20.54178125,36.516241220626625,,,,,,,,"11/03/2022, 23:07:51"
,excluding overdraft,,16.698769088127307,13.9133,22,15.733299492865193,32.38624344471125,4.995,0.9261395366779903,,,,,,,,"11/03/2022, 23:07:51"
,including by original maturity,up to 1 year,16.773487002938634,13.6445,–,15.954297417763401,33.806876471331954,4.995,0.9246395404559477,,,,,,,,"11/03/2022, 23:07:51"
,,over 1 year and up to 5 years,15.91157313724133,17.4664,22,12.191532378789828,29.56332765865868,–,28.3333,,,,,,,,"11/03/2022, 23:07:51"
,,over 5 years,14.117443691073792,–,–,9.0579,23.930402767408633,–,–,,,,,,,,"11/03/2022, 23:07:51"
including by currencies,in national currency,total,20.835337148288655,14.964235329212595,22,20.44945027607735,23.541661566292454,12.500518760907505,34.16709699078813,,,,,,,,"11/03/2022, 23:07:51"
,,overdraft,15.868334564298316,21.829792527474396,–,17.957773414446287,14.137984719174272,20.54178125,36.53245442259092,,,,,,,,"11/03/2022, 23:07:51"
,,excluding overdraft,21.54263483572316,13.9133,22,20.618268513619228,32.41027173431115,12.3383,30.290961559236585,,,,,,,,"11/03/2022, 23:07:51"
,,up to 1 year,21.75838855687074,13.6445,–,20.963303364775363,33.81708099394914,12.3383,31.011779822616408,,,,,,,,"11/03/2022, 23:07:51"
,,over 1 year and up to 5 years,18.265294453374146,17.4664,22,14.302635064768028,29.56332765865868,–,28.3333,,,,,,,,"11/03/2022, 23:07:51"
,,over 5 years,22.53873802669409,–,–,19.6633,24.126447220339347,–,–,,,,,,,,"11/03/2022, 23:07:51"
,in foreign currency,total,5.543524489142513,–,–,5.527173577160291,29.94501410736124,3,0.9201,,,,,,,,"11/03/2022, 23:07:51"
,,overdraft,5.914827682021743,–,–,1.9837,37.37495891277551,–,34.8831,,,,,,,,"11/03/2022, 23:07:51"
,,excluding overdraft,5.541656047136014,–,–,5.5434733121661965,2.850717211353613,3,0.92,,,,,,,,"11/03/2022, 23:07:51"
,,up to 1 year,5.5659474549616625,–,–,5.5675717234687285,2.5814766178554556,3,0.92,,,,,,,,"11/03/2022, 23:07:51"
