"1. Interest rates of deposit-taking corporations (excluding National Bank of Ukraine) on loans (new business), breakdown by regions 
and sectors of economy",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,,None.1,None.2,retrieved
,including by original maturity,up to 1 year,25.7981,26.8344,0,20.1676,35.4085,0,36.1787,,,,,,,,"01/05/2023, 16:39:11"
,,over 1 year and up to 5 years,21.9137,0,0,18.5741,30.0364,0,0,,,,,,,,"01/05/2023, 16:39:11"
,,over 5 years,17.7833,0,0,0,17.7833,0,0,,,,,,,,"01/05/2023, 16:39:11"
including by currencies,in national currency,total,25.3492,25.4001,0,19.8987,35.4027,60.3105,36.494,,,,,,,,"01/05/2023, 16:39:11"
,,overdraft,22.2985,25,0,16.9127,38.1014,60.3105,37.9137,,,,,,,,"01/05/2023, 16:39:11"
,,excluding overdraft,26.3829,26.8344,0,21.122,34.801,0,36.1787,,,,,,,,"01/05/2023, 16:39:11"
,,up to 1 year,26.5166,26.8344,0,20.8993,35.4085,0,36.1787,,,,,,,,"01/05/2023, 16:39:11"
,,over 1 year and up to 5 years,25.4113,0,0,22.9324,30.0364,0,0,,,,,,,,"01/05/2023, 16:39:11"
,,over 5 years,17.9822,0,0,0,17.9822,0,0,,,,,,,,"01/05/2023, 16:39:11"
,in foreign currency,total,8.7115,0,0,8.6946,24.3726,0,36.5,,,,,,,,"01/05/2023, 16:39:11"
,,overdraft,46.2986,0,0,0,46.2986,0,36.5,,,,,,,,"01/05/2023, 16:39:11"
,,excluding overdraft,8.6928,0,0,8.6946,5.4994,0,0,,,,,,,,"01/05/2023, 16:39:11"
,,up to 1 year,10.8289,0,0,10.8289,0,0,0,,,,,,,,"01/05/2023, 16:39:11"
,,over 1 year and up to 5 years,4.2159,0,0,4.2159,0,0,0,,,,,,,,"01/05/2023, 16:39:11"
,,over 5 years,5.4994,0,0,0,5.4994,0,0,,,,,,,,"01/05/2023, 16:39:11"
Donetsk,,,37.6979,0,0,20.9131,40.1929,0,36,,,,,,,,"01/05/2023, 16:39:11"
including,overdraft,,45.1549,0,0,12.8786,46.0487,0,0,,,,,,,,"01/05/2023, 16:39:11"
,excluding overdraft,,35.5687,0,0,21.3027,38.2591,0,36,,,,,,,,"01/05/2023, 16:39:11"
,including by original maturity,up to 1 year,36.7861,0,0,22.1786,39.1403,0,36,,,,,,,,"01/05/2023, 16:39:11"
,,over 1 year and up to 5 years,20.1569,0,0,17.2759,34.2296,0,0,,,,,,,,"01/05/2023, 16:39:11"
,,over 5 years,12.6394,0,0,0,12.6394,0,0,,,,,,,,"01/05/2023, 16:39:11"
including by currencies,in national currency,total,37.6969,0,0,20.9131,40.1918,0,36,,,,,,,,"01/05/2023, 16:39:11"
,,overdraft,45.152,0,0,12.8786,46.0459,0,0,,,,,,,,"01/05/2023, 16:39:11"
,,excluding overdraft,35.5687,0,0,21.3027,38.2591,0,36,,,,,,,,"01/05/2023, 16:39:11"
,,up to 1 year,36.7861,0,0,22.1786,39.1403,0,36,,,,,,,,"01/05/2023, 16:39:11"
,,over 1 year and up to 5 years,20.1569,0,0,17.2759,34.2296,0,0,,,,,,,,"01/05/2023, 16:39:11"
,,over 5 years,12.6394,0,0,0,12.6394,0,0,,,,,,,,"01/05/2023, 16:39:11"
,in foreign currency,total,56.9296,0,0,0,56.9296,0,0,,,,,,,,"01/05/2023, 16:39:11"
,,overdraft,56.9296,0,0,0,56.9296,0,0,,,,,,,,"01/05/2023, 16:39:11"
,,excluding overdraft,–,–,–,–,–,–,–,,,,,,,,"01/05/2023, 16:39:11"
,,up to 1 year,–,–,–,–,–,–,–,,,,,,,,"01/05/2023, 16:39:11"
,,over 1 year and up to 5 years,–,–,–,–,–,–,–,,,,,,,,"01/05/2023, 16:39:11"
,,over 5 years,–,–,–,–,–,–,–,,,,,,,,"01/05/2023, 16:39:11"
Zhytomyr,,,24.1008,0,0,18.0747,32.6533,74,31.5584,,,,,,,,"01/05/2023, 16:39:11"
including,overdraft,,21.098,0,0,18.7645,39.9203,74,35.1213,,,,,,,,"01/05/2023, 16:39:11"
,excluding overdraft,,25.7686,0,0,17.2599,31.888,0,24.7774,,,,,,,,"01/05/2023, 16:39:11"
,including by original maturity,up to 1 year,28.4601,0,0,18.7696,33.903,0,24.7774,,,,,,,,"01/05/2023, 16:39:11"
,,over 1 year and up to 5 years,16.2879,0,0,14.1875,20.011,0,0,,,,,,,,"01/05/2023, 16:39:11"
,,over 5 years,13.4575,0,0,0,13.4575,0,0,,,,,,,,"01/05/2023, 16:39:11"
including by currencies,in national currency,total,25.5268,0,0,18.6583,35.9677,74,31.2818,,,,,,,,"01/05/2023, 16:39:11"
,,overdraft,21.0974,0,0,18.7645,39.9193,74,35,,,,,,,,"01/05/2023, 16:39:11"
,,excluding overdraft,28.2728,0,0,18.5206,35.4974,0,24.7774,,,,,,,,"01/05/2023, 16:39:11"
,,up to 1 year,29.6289,0,0,18.7696,36.1784,0,24.7774,,,,,,,,"01/05/2023, 16:39:11"
,,over 1 year and up to 5 years,21.7935,0,0,17.8275,30.6649,0,0,,,,,,,,"01/05/2023, 16:39:11"
,,over 5 years,13.4575,0,0,0,13.4575,0,0,,,,,,,,"01/05/2023, 16:39:11"
,in foreign currency,total,4.2305,0,0,4.3,4.192,0,36.5,,,,,,,,"01/05/2023, 16:39:11"
,,overdraft,44.2606,0,0,0,44.2606,0,36.5,,,,,,,,"01/05/2023, 16:39:11"
,,excluding overdraft,4.2248,0,0,4.3,4.1832,0,0,,,,,,,,"01/05/2023, 16:39:11"
,,up to 1 year,3.0738,0,0,0,3.0738,0,0,,,,,,,,"01/05/2023, 16:39:11"
,,over 1 year and up to 5 years,4.7908,0,0,4.3,5.3471,0,0,,,,,,,,"01/05/2023, 16:39:11"
,,over 5 years,–,–,–,–,–,–,–,,,,,,,,"01/05/2023, 16:39:11"
Zakarpattia,,,29.3864,0,20,17.5177,36.7341,17.3839,47.2411,,,,,,,,"01/05/2023, 16:39:11"
including,overdraft,,22.9052,0,20,17.8779,36.9329,20.5121,51.2208,,,,,,,,"01/05/2023, 16:39:11"
,excluding overdraft,,32.0445,0,0,17.0576,36.706,14.5,34.9726,,,,,,,,"01/05/2023, 16:39:11"
,including by original maturity,up to 1 year,34.3317,0,0,18.9083,37.9952,0,34.9726,,,,,,,,"01/05/2023, 16:39:11"
,,over 1 year and up to 5 years,20.9457,0,0,13.027,29.4962,0,0,,,,,,,,"01/05/2023, 16:39:11"
,,over 5 years,13.1651,0,0,0,13.0101,14.5,0,,,,,,,,"01/05/2023, 16:39:11"
including by currencies,in national currency,total,29.8696,0,20,18.1533,36.7337,17.3839,48.7719,,,,,,,,"01/05/2023, 16:39:11"
,,overdraft,23.0505,0,20,18.0111,36.9294,20.5121,54.1345,,,,,,,,"01/05/2023, 16:39:11"
,,excluding overdraft,32.7093,0,0,18.3538,36.706,14.5,34.9726,,,,,,,,"01/05/2023, 16:39:11"
,,up to 1 year,34.3317,0,0,18.9083,37.9952,0,34.9726,,,,,,,,"01/05/2023, 16:39:11"
,,over 1 year and up to 5 years,24.0944,0,0,16.527,29.4962,0,0,,,,,,,,"01/05/2023, 16:39:11"
,,over 5 years,13.1651,0,0,0,13.0101,14.5,0,,,,,,,,"01/05/2023, 16:39:11"
,in foreign currency,total,6.5391,0,0,6.4812,45.558,0,36.5059,,,,,,,,"01/05/2023, 16:39:11"
,,overdraft,8.601,0,0,8.2096,45.558,0,36.5059,,,,,,,,"01/05/2023, 16:39:11"
,,excluding overdraft,6.2,0,0,6.2,0,0,0,,,,,,,,"01/05/2023, 16:39:11"
,,up to 1 year,–,–,–,–,–,–,–,,,,,,,,"01/05/2023, 16:39:11"
,,over 1 year and up to 5 years,6.2,0,0,6.2,0,0,0,,,,,,,,"01/05/2023, 16:39:11"
,,over 5 years,–,–,–,–,–,–,–,,,,,,,,"01/05/2023, 16:39:11"
